Year,County,Cnt_Return,Cnt_Exempt,Cnt_MarJnt,Cnt_Single,Cnt_MarSep,Cnt_HdHous,Cnt_OthCrd,Cnt_Wthhld,Cnt_Estmt,Cnt_Adjstd,Cnt_NoTax,Cnt_EIC,Dol_AGI,Dol_FedTI,Dol_VTI,Dol_AdjVTx,Dol_OthCrd,Dol_NetVTax,Dol_EIC,Dol_AdjAGI
2013,Windsor,28789,51063,11547,14171,529,2542,1203,22942,3748,969,6675,3984,1596669456,1093439299,1114514727,55484431.58,3421750,52062681.54,2344756,27002.62678
2013,Suppressed,3427,4561,1004,2158,104,161,103,2478,264,237,1352,219,109336170.9,91238598.02,92435070.02,4889129.845,382314.8,4506815.006,102486,23398.07014
2014,Addison,18532,32889,7465,9394,312,1361,802,15435,2244,542,3842,2300,1074042180,739180695.7,742712435.7,36758067.54,1549787.13,35208280.41,1338397,27042.71346
2014,Bennington,18012,32339,6938,8895,316,1863,2331,13603,2162,521,5001,2967,1046812685,714229561.7,728008131.7,37895634.92,5620427.47,32275207.45,1957145.01,24954.29289
2014,Caledonia,14296,26512,5873,6719,231,1473,380,11646,1234,380,3654,2641,662733944.3,429402377.5,429431620.5,19760387.33,740759.86,19019627.47,1757369,21994.84613
2014,Chittenden,79291,138193,29481,43107,1130,5573,4448,70080,9295,2821,13106,7594,6005070096,4443244639,4474810310,249867014,11209818.23,238657195.7,4369134,31543.05549
2014,Essex,2786,5075,1196,1259,55,276,54,2185,183,89,851,579,108946395.2,67320930.38,67191794.38,3075923.71,67992,3007931.71,378729,18771.90799
2014,Franklin,23960,45368,9893,11200,387,2480,683,21121,1494,546,4959,3663,1257132415,847666444.7,847923365.7,39041380.5,1148253.88,37893126.62,2432555,24914.8043
2014,Grand Isle,3778,6794,1687,1745,55,291,238,3175,478,96,731,478,248507224.1,183423552,183609306,9726253.29,533769.28,9192484.01,297694,28991.76486
2014,Lamoille,13035,22931,4863,6768,213,1191,508,10981,1477,382,2738,1956,817216195,578547693.3,581901714.3,32435992.47,2394686.58,30041305.88,1217601,25606.38345
2014,Orange,14914,26870,6036,7242,272,1364,459,12223,1453,415,3344,2280,745239433.2,499838067,502303317,23208706.31,628407.72,22580298.6,1418508,24494.88441
2014,Orleans,13365,24184,5329,6473,202,1361,312,10897,1086,362,3764,2660,574538817.9,369594502.5,369701337.8,17123858.01,456306.68,16667551.34,1795463,20672.36896
2014,Rutland,32819,56086,11941,17500,550,2828,1569,27677,2798,962,7932,5097,1608829554,1083165653,1086130642,50978359.28,2504905.29,48473454,3089455.4,25067.01122
2014,Washington,29686,52529,11460,15138,544,2544,1230,25276,3380,883,5675,3763,1949072802,1396910016,1400973172,75474957.18,9768106.48,65706850.7,2141205,27828.75857
2014,Windham,21825,37966,8058,11339,422,2006,1729,17017,2726,841,5329,3588,1115840815,758681305.2,764592343.2,37248240.14,3581985.25,33666254.88,2144224,24931.1379
2014,Windsor,29001,51110,11511,14390,576,2524,1286,23222,3808,1040,6467,3864,1700136678,1210001444,1224671739,62062540.25,4128764.17,57933776.08,2333032,27002.62678
2014,Suppressed/Not Stated,156,253,69,81,4,2,14,81,17,9,87,13,-1107231,2690897,2689535,112626.67,9643,102983.67,7025,23398.07014
2015,Addison,18733,32812,7421,9541,371,1400,834,15672,2252,555,3818,2317,1101422025,755771013.7,777501488.7,38143552.09,1325796.028,36817756.06,1311219,29065.81021
2015,Bennington,18236,32229,6856,9165,324,1891,2411,13756,2177,505,5144,3034,1031376953,699721177,732983897,38471611.14,6035364.616,32436246.52,1988214,26187.65879
2015,Caledonia,14248,26164,5762,6757,242,1487,391,11724,1230,378,3548,2592,657549484,425118394,431078676,19554127.57,821868.608,18732258.96,1785730,23515.51869
2015,Chittenden,79743,138196,29468,43521,1198,5556,4721,70764,9483,2967,12677,7519,5879992860,4308934607,4459220373,242163394.3,9279709.574,232883684.7,4326763,33603.37843
2015,Essex,2799,5039,1178,1270,58,293,63,2196,174,93,845,590,105332382,62489876,63072374,2632102.389,74547.7037,2557554.685,380147,20303.32248
2015,Franklin,24166,45416,9850,11388,384,2544,717,21422,1476,557,4949,3601,1297450409,886522289,901695477,42122413.19,1041411.319,41081001.87,2462128,26407.97964
2015,Grand Isle,3799,6747,1662,1775,57,305,232,3187,474,98,753,463,252025758.9,180177824,185330453,9679199.646,511909.2006,9167290.446,306372,30807.52451
2015,Lamoille,13261,23078,4845,7004,232,1180,544,11281,1497,430,2764,1947,837027320.2,593595175,609138796,33252490.93,1994387.66,31258103.27,1224364,27617.01842
